+----+-----+-----+
|year|month|count|
|1997|   05|  320|
|1982|   07|  321|
|1991|   06|  321|
|2000|   06|  321|
|2004|   05|  321|
|2004|   09|  321|
|1987|   05|  321|
|2003|   05|  321|
|2003|   07|  321|
|1988|   06|  322|
|2001|   09|  322|
|2002|   08|  322|
|1998|   05|  322|
|2000|   09|  322|
|2001|   08|  323|
|1987|   09|  323|
|1987|   06|  323|
|2000|   05|  323|
|2003|   06|  323|
|2002|   09|  323|
|1986|   09|  324|
|2002|   07|  324|
|2002|   05|  324|
|2001|   06|  324|
|1984|   06|  324|
|1985|   06|  324|
|1984|   10|  324|
|2001|   07|  324|
|1980|   07|  324|
|1999|   05|  325|
|2000|   08|  325|
|1985|   05|  325|
|1998|   07|  326|
|1982|   08|  326|
|1968|   04|  326|
|1998|   08|  326|
|1998|   09|  326|
|1998|   06|  326|
|2002|   06|  326|
|1999|   08|  327|
|1984|   09|  327|
|1985|   09|  327|
|1999|   09|  328|
|1981|   07|  329|
|1999|   07|  329|
|1981|   10|  329|
|1983|   08|  330|
|1980|   08|  330|
|1999|   06|  330|
|1982|   05|  330|
|1981|   06|  331|
|1983|   09|  332|
|1980|   06|  332|
|1984|   05|  333|
|1997|   07|  333|
|1981|   08|  334|
|1982|   09|  334|
|1981|   09|  335|
|1967|   10|  335|
|1983|   05|  336|
|1983|   06|  337|
|1997|   08|  337|
|1980|   05|  337|
|1981|   05|  337|
|1997|   06|  338|
|1969|   05|  338|
|1980|   09|  338|
|1982|   06|  339|
|1997|   09|  340|
|1996|   09|  340|
|1979|   08|  340|
|1965|   10|  341|
|1975|   10|  341|
|1978|   10|  341|
|1996|   08|  341|
|1996|   07|  342|
|1996|   05|  342|
|1978|   07|  343|
|1996|   06|  345|
|1979|   07|  345|
|1969|   10|  346|
|1965|   05|  346|
|1970|   10|  347|
|1965|   07|  349|
|1974|   04|  349|
|1969|   07|  349|
|1977|   07|  350|
|1978|   08|  350|
|1979|   09|  351|
|1979|   06|  351|
|1967|   07|  351|
|1973|   10|  351|
|1978|   05|  352|
|1971|   10|  352|
|1969|   06|  352|
|1977|   05|  352|
|1966|   07|  352|
|1968|   07|  353|
|1977|   09|  353|
|1979|   05|  354|
|1978|   06|  354|
|1977|   08|  354|
|1965|   08|  354|
|1965|   06|  355|
|1966|   05|  355|
|1976|   07|  356|
|1968|   09|  356|
|1968|   05|  356|
|1968|   06|  357|
|1969|   08|  357|
|1968|   08|  357|
|1967|   08|  358|
|1978|   09|  358|
|1975|   07|  358|
|1965|   09|  358|
|1969|   09|  359|
|1967|   06|  359|
|1966|   08|  359|
|1966|   06|  360|
|1967|   09|  361|
|1966|   09|  361|
|1974|   07|  362|
|1970|   07|  362|
|1976|   08|  363|
|1967|   05|  363|
|1977|   06|  364|
|1976|   09|  365|
|1970|   05|  366|
|1975|   08|  367|
|1975|   05|  367|
|1976|   06|  368|
|1975|   06|  368|
|1970|   09|  369|
|1970|   06|  369|
|1975|   09|  369|
|1976|   05|  369|
|1973|   07|  370|
|1974|   05|  370|
|1970|   08|  370|
|1971|   07|  370|
|1974|   09|  370|
|1974|   06|  372|
|1974|   08|  372|
|1973|   08|  373|
|1971|   05|  373|
|1971|   09|  374|
|1971|   06|  374|
|1972|   07|  374|
|1972|   09|  375|
|1971|   08|  375|
|1972|   06|  375|
|1972|   08|  376|
|1972|   05|  376|
|1973|   09|  376|
|1973|   06|  377|
|1973|   05|  377|
|1972|   10|  378|
+----+-----+-----+
