+----+-----+------+
|year|month| count|
|1998|   06| 83947|
|2014|   09| 87131|
|2000|   06| 87718|
|2009|   06| 88994|
|2015|   06| 89196|
|2009|   09| 90111|
|1999|   09| 90278|
|2004|   06| 90781|
|2005|   06| 91843|
|2015|   09| 93360|
|2001|   06| 94437|
|2012|   06| 95798|
|2016|   06| 97612|
|2006|   09| 98083|
|1999|   08| 98334|
|2011|   09|100637|
|2003|   06|100669|
|1996|   07|100745|
|1998|   08|102686|
|2014|   06|102865|
|2006|   06|103404|
|2008|   06|103795|
|2007|   06|103869|
|2010|   06|103905|
|1999|   06|104100|
|1997|   06|105499|
|1996|   08|108241|
|2003|   08|109213|
|2000|   08|110268|
|2007|   08|111030|
|2005|   08|114580|
|2002|   06|114736|
|2004|   08|114776|
|2001|   08|114795|
|2008|   08|115242|
|1999|   07|116918|
|2004|   07|120189|
|2000|   07|120460|
|1998|   07|120912|
|2001|   07|121192|
|1997|   08|121601|
|2013|   06|123133|
|1997|   07|123854|
|2007|   07|123896|
|2015|   07|123982|
|2014|   08|125006|
|2010|   08|125135|
|2006|   07|125192|
|2005|   07|125651|
|2012|   08|125947|
|2011|   06|126084|
|2002|   08|126495|
|2015|   08|126951|
|2008|   07|127627|
|2006|   08|128039|
|2002|   07|128354|
|2003|   07|128360|
|2013|   08|128920|
|2009|   08|129007|
|2011|   08|133483|
|2009|   07|133570|
|2013|   07|134297|
|2012|   07|138166|
|2010|   07|143860|
|2011|   07|147060|
|2014|   07|147910|
+----+-----+------+
